#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
good_side;Guardian of Middle-Earth;Gardien de la Terre du Milieu;;;;;;;;;;;;x
good_side_desc;This character is a working to aid the free peoples of Middle-Earth.;Ce personnage fait tout son possible pour aider les Peuples Libres de la Terre du Milieu.;;;;;;;;;;;;x
evil_side;Corrupted by Darkness;Corrompu par les Ténèbres;;;;;;;;;;;;x
evil_side_desc;This character has been corrupted by the lies of Sauron.;Ce personnage a été corrompu par les mensonges de Sauron.;;;;;;;;;;;;x
EVTNAMEgoodside.1;Free Peoples;Peuples Libres;;;;;;;;;;;;x
EVTDESCgoodside.1;You are a member of the Free Peoples of Middle-Earth,and work with others to hold the Shadow at bay.;Vous êtes un membres des Peuples Libres de la Terre du Milieu, et vous tentez de banir Sauron hors de ce monde.;;;;;;;;;;;;x
EVTOPTgoodside.1;OK;OK;;;;;;;;;;;;x
EVTNAMEevilside.1;Forces of Evil;Forces du Mal;;;;;;;;;;;;x
EVTDESCevilside.1;"An emissary from the Dark Lord appears - he demands your allegiance and aid in his wars.,""Accept, and you shall have the friendship of Mordor."","" Reject, and suffer the wrath of a God!";"Un émissaire de Sauron se présente devant vous. Il réclame votre allégeance et votre aide dans les guerres à venir. ""Acceptez, et vous aurez l'amitié du Mordor. Rejetez, et souffrez la colère de mon Seigneur et Maitre!"".";;;;;;;;;;;;x
EVTOPTevilside.1;None can withstand the will of Sauron!;Personne ne peut résister à la Volonté de Sauron!;;;;;;;;;;;;x
EVTOPTevilside.2;My people are not slaves of Mordor!;Mon Peuple n'est pas esclave du Mordor!;;;;;;;;;;;;x
convert_to_evil_side;Surrender to the Power of Evil;Succomber au Seigneur Noir !;;;;;;;;;;;;x
convert_to_evil_side_desc;The Forces of Evil are getting stronger and stronger, their power is spreading and threatening Middle Earth. You're a wise person and a provident ruler and, now, you'll have to take a tough choiche for the salvation of your people. Surrender...;Les Forces de Sauron sont de plus en plus puissantes, et vous êtes une personnage sage, et un dirigeant avisé. Vous avez le pouvoir de protéger votre Peuple… Vous vous agenouiller devant le pouvoir de Sauron.;;;;;;;;;;;;x
convert_to_good_side;Forsake the Darkness;Repousser les Ténèbres !;;;;;;;;;;;;x
convert_to_good_side_desc;Anger, blood and death all around us... Our people are slaves of the Dark Forces and suffer countless pains because of the wars which we are involved in. Let's free up, break the chains that keep us tied, let's become a Free People and fight for peace and freedom of Middle-earth!;Colère, Sang et Mort sont sur nous ! Notre Peuple a trop longtemps été l'esclave du Seigneur Noir, et nous avons trop souffert des guerres dans lesquelles nous avons été embarquées. Il est temps de se libérer. Brisons nos chaines, et rejoignons les Peuples Libres dans leur combat contre Sauron !;;;;;;;;;;;;x
redeemed_by_light;Redeemed by Light;Revenu dans la Lumière;;;;;;;;;;;;x
redeemed_by_light_desc;Redeemed by Light;Ce personnage a rejeté les Ténèbres, et est fait de nouveau partie des Peuples Libres.;;;;;;;;;;;;x
corrupted_by_darkness;Corrupted by Darkness;Corrompu par les Ténèbres;;;;;;;;;;;;x
corrupted_by_darkness_desc;Corrupted by Darkness;Ce personnage s'est laissé séduire par Sauron, et a rejoins ses légions en vue de sa Grande Guerre.;;;;;;;;;;;;x
